6225	1656	6559	4519	1454	3806	3098	6235	320	2087	
1457	1039	787	187	7235	5359	2017	9768	2399	2284	
6248	4506	5352	1013	5158	727	8670	8575	7821	6945	
4339	4364	7499	9471	3594	598	999	1510	5344	9388	
8723	1225	1536	3342	2795	4071	2413	4457	1868	3284	
945	4070	223	9970	5278	2142	5083	5302	1139	1813	
7069	8444	4085	6777	840	1486	1112	3754	2379	1684	
6917	9264	1808	3536	5376	1787	6269	3814	4302	188	
1032	7484	5065	8121	2156	2892	4726	5462	4371	8721	
6639	179	2053	7421	1527	4938	5260	4149	7119	5457	
6101	3266	6769	3082	9864	596	6057	6114	1572	2625	
5425	3727	3524	4929	5177	9022	4023	3652	5975	2631	
1074	7083	6744	1185	1919	1361	6057	6003	1924	7520	
7321	4277	3618	8784	9503	4116	4528	2761	4829	9353	
7505	3926	74	8755	3109	2919	6889	226	7563	477	
1234	752	3254	9674	2013	4155	3393	8831	5366	3902	
2211	7646	1354	6532	1180	1423	8696	5503	3165	1760	
8775	6484	7211	5593	3318	1143	3571	6952	7512	6260	
6690	2332	1230	3238	8115	1990	6077	5699	1684	9359	
2458	6433	6853	8035	818	1095	6376	3732	9228	6484	
4190	3288	8568	9225	5752	9953	5364	4442	8814	6705	
6750	4234	6873	3363	7978	4054	2592	8031	893	3667	
1921	2014	1849	2233	2255	7780	6567	8272	615	5271	
931	3353	2892	2348	9249	752	7524	4008	8384	788	
9386	7824	5916	7704	7219	8351	2100	7565	6094	7336	
3422	215	4534	9285	9550	901	9046	8408	6950	1752	
8585	1849	7549	7239	173	5337	8186	9925	1111	2318	
4769	1796	967	6875	9921	7923	1596	5463	8112	6368	
6064	6671	5621	8726	9945	4463	4039	1310	275	8765	
7975	4826	9915	1786	4232	721	181	6885	3071	255	
8935	1270	501	1831	6338	3058	4460	4431	921	5621	
1381	2531	7553	6206	8357	2162	1694	1226	2825	1255	
1027	8484	2452	2302	6365	8009	209	3272	3327	519	
5610	9568	6905	4148	2527	9777	4339	124	9719	8511	
2108	2120	3871	453	2625	7336	2268	250	8539	5322	
1102	3950	875	46	7048	7412	137	174	8080	9804	
5466	6256	9285	5681	2972	4788	9313	969	9754	1111	
3915	857	6146	2570	4596	1136	7222	2635	7488	6358	
5165	5046	2242	7775	8638	5157	7321	1432	7374	777	
9884	8254	4286	5460	5554	1386	5286	734	1486	6901	
8948	6036	2268	7033	7023	4425	6365	9511	2389	5209	
149	6391	4435	4445	1616	6440	1191	8672	1614	2037	
6316	8298	29	4150	9030	1332	7126	1388	719	2518	
489	8724	3318	3598	5327	6978	8138	2482	2542	9671	
4630	6266	3835	4484	8112	6573	2379	8667	7469	661	
7516	1179	2179	4144	5101	7239	8924	7712	7749	3525	
6416	6317	2847	6873	1372	5229	9942	7235	3563	262	
2069	6439	3975	1991	8226	4358	1053	7852	7563	1417	
9572	8224	72	1956	127	8081	6831	5919	5146	3950	
2303	8228	7315	6636	6325	2843	7368	6092	2276	1552	
1581	6517	5460	6818	4619	9947	7059	2991	9084	3394	
6190	8558	5796	2967	7922	9855	5253	7285	9072	918	
3250	4577	3867	5450	8197	1051	922	6147	5373	8766	
7293	4709	517	7263	4501	2899	7760	8181	6153	3790	
9422	9088	9546	3158	2331	100	794	9666	6999	5147	
4133	2114	2940	6396	2302	2266	3487	3117	1062	272	
6514	5763	6318	4977	2569	3181	7103	8040	2520	5954	
3427	1288	6142	8379	7498	98	522	6115	9350	5711	
701	180	63	8352	4462	1718	8711	5894	4777	2987	
5020	8395	1352	3306	4234	8424	2628	2689	9138	8232	
7578	8377	9059	460	896	7813	7164	6599	854	4454	
4148	4112	5143	3493	7143	9575	5456	8039	4995	7671	
5046	3037	3936	7912	2326	2173	4177	6795	3970	9137	
3238	382	5760	9117	8580	8007	4301	4651	3452	602	
4509	3027	9058	5336	3135	616	2630	4046	3583	8085	
5647	6393	3963	6166	3263	8898	150	5697	4271	9304	
5013	9109	8107	5161	2178	7149	8088	685	2935	4031	
1519	7258	5952	4615	2046	9549	9297	1425	4487	3164	
5318	6753	9539	5267	2006	9282	1485	8155	3390	8353	
7132	5256	6338	3054	5571	8864	9624	4062	9826	1886	
4737	2593	7149	9644	9953	201	1315	1401	8812	9080	
7178	370	1046	5061	5095	8033	6117	334	3887	9010	
1435	2706	6620	38	5231	2476	1003	9809	1364	950	
2540	6181	949	7184	8903	1659	6651	8883	7513	3426	
298	1328	262	9729	4297	2559	2419	288	6804	2906	
9633	6240	8496	4958	362	2001	5152	7917	646	6650	
7332	3829	5739	4967	8835	1531	8452	3593	3301	5053	
4966	6396	2756	4948	1260	7092	7734	2913	6031	7777	
6815	9620	1413	914	3041	3106	2976	7868	6628	8260	
2312	715	4925	7234	2156	5645	9324	7207	8272	8302	
1582	2838	5397	1030	8806	7556	1992	8070	4429	6113	
9473	5749	8575	1083	9054	2110	33	7537	4961	725	
9334	5894	6429	771	5789	1856	1407	6723	309	5819	
534	8170	1068	3858	4004	5602	6414	577	5693	6940	
4536	2265	266	3485	3552	6899	2689	6648	2257	6527	
1454	5925	2056	7841	5512	6720	3139	8638	5361	8411	
6532	4587	7386	3149	5528	2957	9688	2945	7915	704	
2546	3968	7870	9175	530	8965	8512	97	3742	2290	
